state,county,candidate,party,total_votes,won,candidate_2
Oklahoma,Seminole County,Donald Trump,REP,6011,TRUE,Donald Trump
Oklahoma,Seminole County,Joe Biden,DEM,2150,FALSE,Joe Biden
Oklahoma,Seminole County,Jo Jorgensen,LIB,109,FALSE,Other
Oklahoma,Seminole County,Kanye West,IND,40,FALSE,Other
Oklahoma,Seminole County,Jade Simmons,IND,19,FALSE,Other
Oklahoma,Seminole County,Brock Pierce,IND,8,FALSE,Other
Oklahoma,Sequoyah County,Donald Trump,REP,12113,TRUE,Donald Trump
Oklahoma,Sequoyah County,Joe Biden,DEM,3035,FALSE,Joe Biden
Oklahoma,Sequoyah County,Jo Jorgensen,LIB,152,FALSE,Other
Oklahoma,Sequoyah County,Kanye West,IND,42,FALSE,Other
Oklahoma,Sequoyah County,Jade Simmons,IND,23,FALSE,Other
Oklahoma,Sequoyah County,Brock Pierce,IND,21,FALSE,Other
Oklahoma,Stephens County,Donald Trump,REP,15560,TRUE,Donald Trump
Oklahoma,Stephens County,Joe Biden,DEM,3154,FALSE,Joe Biden
Oklahoma,Stephens County,Jo Jorgensen,LIB,224,FALSE,Other
Oklahoma,Stephens County,Kanye West,IND,58,FALSE,Other
Oklahoma,Stephens County,Brock Pierce,IND,34,FALSE,Other
Oklahoma,Stephens County,Jade Simmons,IND,27,FALSE,Other
Oklahoma,Texas County,Donald Trump,REP,4505,TRUE,Donald Trump
Oklahoma,Texas County,Joe Biden,DEM,894,FALSE,Joe Biden
Oklahoma,Texas County,Jo Jorgensen,LIB,89,FALSE,Other
Oklahoma,Texas County,Kanye West,IND,12,FALSE,Other
Oklahoma,Texas County,Brock Pierce,IND,11,FALSE,Other
Oklahoma,Texas County,Jade Simmons,IND,10,FALSE,Other
Oklahoma,Tillman County,Donald Trump,REP,2076,TRUE,Donald Trump
Oklahoma,Tillman County,Joe Biden,DEM,597,FALSE,Joe Biden
Oklahoma,Tillman County,Jo Jorgensen,LIB,24,FALSE,Other
Oklahoma,Tillman County,Kanye West,IND,7,FALSE,Other
Oklahoma,Tillman County,Jade Simmons,IND,3,FALSE,Other
Oklahoma,Tillman County,Brock Pierce,IND,1,FALSE,Other
Oklahoma,Tulsa County,Donald Trump,REP,150574,TRUE,Donald Trump
Oklahoma,Tulsa County,Joe Biden,DEM,108996,FALSE,Joe Biden
Oklahoma,Tulsa County,Jo Jorgensen,LIB,4859,FALSE,Other
Oklahoma,Tulsa County,Kanye West,IND,1074,FALSE,Other
Oklahoma,Tulsa County,Jade Simmons,IND,722,FALSE,Other
Oklahoma,Tulsa County,Brock Pierce,IND,453,FALSE,Other
Oklahoma,Wagoner County,Donald Trump,REP,26165,TRUE,Donald Trump
Oklahoma,Wagoner County,Joe Biden,DEM,8464,FALSE,Joe Biden
Oklahoma,Wagoner County,Jo Jorgensen,LIB,503,FALSE,Other
Oklahoma,Wagoner County,Kanye West,IND,96,FALSE,Other
Oklahoma,Wagoner County,Jade Simmons,IND,64,FALSE,Other
Oklahoma,Wagoner County,Brock Pierce,IND,46,FALSE,Other
Oklahoma,Washington County,Donald Trump,REP,17076,TRUE,Donald Trump
Oklahoma,Washington County,Joe Biden,DEM,5790,FALSE,Joe Biden
Oklahoma,Washington County,Jo Jorgensen,LIB,445,FALSE,Other
Oklahoma,Washington County,Kanye West,IND,90,FALSE,Other
Oklahoma,Washington County,Jade Simmons,IND,58,FALSE,Other
Oklahoma,Washington County,Brock Pierce,IND,42,FALSE,Other
Oklahoma,Washita County,Donald Trump,REP,4086,TRUE,Donald Trump
Oklahoma,Washita County,Joe Biden,DEM,598,FALSE,Joe Biden
Oklahoma,Washita County,Jo Jorgensen,LIB,59,FALSE,Other
Oklahoma,Washita County,Kanye West,IND,14,FALSE,Other
Oklahoma,Washita County,Jade Simmons,IND,11,FALSE,Other
Oklahoma,Washita County,Brock Pierce,IND,9,FALSE,Other
Oklahoma,Woods County,Donald Trump,REP,2993,TRUE,Donald Trump
Oklahoma,Woods County,Joe Biden,DEM,591,FALSE,Joe Biden
Oklahoma,Woods County,Jo Jorgensen,LIB,66,FALSE,Other
Oklahoma,Woods County,Kanye West,IND,12,FALSE,Other
Oklahoma,Woods County,Jade Simmons,IND,10,FALSE,Other
Oklahoma,Woods County,Brock Pierce,IND,6,FALSE,Other
Oklahoma,Woodward County,Donald Trump,REP,6611,TRUE,Donald Trump
Oklahoma,Woodward County,Joe Biden,DEM,1005,FALSE,Joe Biden
Oklahoma,Woodward County,Jo Jorgensen,LIB,125,FALSE,Other
Oklahoma,Woodward County,Jade Simmons,IND,16,FALSE,Other
Oklahoma,Woodward County,Kanye West,IND,16,FALSE,Other
Oklahoma,Woodward County,Brock Pierce,IND,12,FALSE,Other
Oregon,Baker County,Donald Trump,REP,7316,TRUE,Donald Trump
Oregon,Baker County,Joe Biden,DEM,2332,FALSE,Joe Biden
Oregon,Baker County,Jo Jorgensen,LIB,141,FALSE,Other
Oregon,Baker County,Write-ins,WRI,41,FALSE,Other
Oregon,Baker County,Howie Hawkins,GRN,32,FALSE,Other
Oregon,Baker County,Dario Hunter,PRG,16,FALSE,Other
Oregon,Benton County,Joe Biden,DEM,35780,TRUE,Joe Biden
Oregon,Benton County,Donald Trump,REP,14853,FALSE,Donald Trump
Oregon,Benton County,Jo Jorgensen,LIB,1135,FALSE,Other
Oregon,Benton County,Write-ins,WRI,473,FALSE,Other
Oregon,Benton County,Howie Hawkins,GRN,335,FALSE,Other
Oregon,Benton County,Dario Hunter,PRG,143,FALSE,Other
Oregon,Clackamas County,Joe Biden,DEM,139015,TRUE,Joe Biden
Oregon,Clackamas County,Donald Trump,REP,110476,FALSE,Donald Trump
Oregon,Clackamas County,Jo Jorgensen,LIB,4733,FALSE,Other
Oregon,Clackamas County,Howie Hawkins,GRN,1011,FALSE,Other
Oregon,Clackamas County,Dario Hunter,PRG,429,FALSE,Other
Oregon,Clatsop County,Joe Biden,DEM,12896,TRUE,Joe Biden
Oregon,Clatsop County,Donald Trump,REP,10205,FALSE,Donald Trump
Oregon,Clatsop County,Jo Jorgensen,LIB,436,FALSE,Other
Oregon,Clatsop County,Howie Hawkins,GRN,129,FALSE,Other
Oregon,Clatsop County,Dario Hunter,PRG,63,FALSE,Other
Oregon,Columbia County,Donald Trump,REP,16779,TRUE,Donald Trump
Oregon,Columbia County,Joe Biden,DEM,13535,FALSE,Joe Biden
Oregon,Columbia County,Jo Jorgensen,LIB,763,FALSE,Other
Oregon,Columbia County,Write-ins,WRI,199,FALSE,Other
Oregon,Columbia County,Howie Hawkins,GRN,157,FALSE,Other
Oregon,Columbia County,Dario Hunter,PRG,85,FALSE,Other
Oregon,Coos County,Donald Trump,REP,21488,TRUE,Donald Trump
Oregon,Coos County,Joe Biden,DEM,14024,FALSE,Joe Biden
Oregon,Coos County,Jo Jorgensen,LIB,560,FALSE,Other
Oregon,Coos County,Howie Hawkins,GRN,167,FALSE,Other
Oregon,Coos County,Write-ins,WRI,167,FALSE,Other
Oregon,Coos County,Dario Hunter,PRG,78,FALSE,Other
Oregon,Crook County,Donald Trump,REP,11103,TRUE,Donald Trump
Oregon,Crook County,Joe Biden,DEM,3715,FALSE,Joe Biden
Oregon,Crook County,Jo Jorgensen,LIB,221,FALSE,Other
Oregon,Crook County,Write-ins,WRI,69,FALSE,Other
Oregon,Crook County,Howie Hawkins,GRN,41,FALSE,Other
Oregon,Crook County,Dario Hunter,PRG,16,FALSE,Other
Oregon,Curry County,Donald Trump,REP,8481,TRUE,Donald Trump
Oregon,Curry County,Joe Biden,DEM,6056,FALSE,Joe Biden
Oregon,Curry County,Jo Jorgensen,LIB,228,FALSE,Other
Oregon,Curry County,Write-ins,WRI,71,FALSE,Other
Oregon,Curry County,Howie Hawkins,GRN,63,FALSE,Other
Oregon,Curry County,Dario Hunter,PRG,21,FALSE,Other
Oregon,Deschutes County,Joe Biden,DEM,64102,TRUE,Joe Biden
Oregon,Deschutes County,Donald Trump,REP,54183,FALSE,Donald Trump
Oregon,Deschutes County,Jo Jorgensen,LIB,1992,FALSE,Other
Oregon,Deschutes County,Write-ins,WRI,912,FALSE,Other
Oregon,Deschutes County,Howie Hawkins,GRN,396,FALSE,Other
Oregon,Deschutes County,Dario Hunter,PRG,147,FALSE,Other
Oregon,Douglas County,Donald Trump,REP,42513,TRUE,Donald Trump
Oregon,Douglas County,Joe Biden,DEM,18780,FALSE,Joe Biden
Oregon,Douglas County,Jo Jorgensen,LIB,1131,FALSE,Other
Oregon,Douglas County,Write-ins,WRI,298,FALSE,Other
Oregon,Douglas County,Howie Hawkins,GRN,248,FALSE,Other
Oregon,Douglas County,Dario Hunter,PRG,137,FALSE,Other
Oregon,Gilliam County,Donald Trump,REP,834,TRUE,Donald Trump
Oregon,Gilliam County,Joe Biden,DEM,324,FALSE,Joe Biden
Oregon,Gilliam County,Jo Jorgensen,LIB,17,FALSE,Other
Oregon,Gilliam County,Write-ins,WRI,2,FALSE,Other
Oregon,Gilliam County,Howie Hawkins,GRN,1,FALSE,Other
Oregon,Gilliam County,Dario Hunter,PRG,0,FALSE,Other
Oregon,Grant County,Donald Trump,REP,3544,TRUE,Donald Trump
Oregon,Grant County,Joe Biden,DEM,928,FALSE,Joe Biden
Oregon,Grant County,Jo Jorgensen,LIB,77,FALSE,Other
Oregon,Grant County,Write-ins,WRI,22,FALSE,Other
Oregon,Grant County,Howie Hawkins,GRN,12,FALSE,Other
Oregon,Grant County,Dario Hunter,PRG,10,FALSE,Other
Oregon,Harney County,Donald Trump,REP,3475,TRUE,Donald Trump
Oregon,Harney County,Joe Biden,DEM,894,FALSE,Joe Biden
Oregon,Harney County,Jo Jorgensen,LIB,63,FALSE,Other
Oregon,Harney County,Write-ins,WRI,31,FALSE,Other
Oregon,Harney County,Howie Hawkins,GRN,9,FALSE,Other
Oregon,Harney County,Dario Hunter,PRG,9,FALSE,Other
Oregon,Hood River County,Joe Biden,DEM,8671,TRUE,Joe Biden
Oregon,Hood River County,Donald Trump,REP,3911,FALSE,Donald Trump
Oregon,Hood River County,Jo Jorgensen,LIB,195,FALSE,Other
Oregon,Hood River County,Write-ins,WRI,92,FALSE,Other
Oregon,Hood River County,Howie Hawkins,GRN,53,FALSE,Other
Oregon,Hood River County,Dario Hunter,PRG,25,FALSE,Other
Oregon,Jackson County,Donald Trump,REP,63814,TRUE,Donald Trump
Oregon,Jackson County,Joe Biden,DEM,59442,FALSE,Joe Biden
Oregon,Jackson County,Jo Jorgensen,LIB,2165,FALSE,Other
Oregon,Jackson County,Howie Hawkins,GRN,636,FALSE,Other
Oregon,Jackson County,Dario Hunter,PRG,268,FALSE,Other
Oregon,Jefferson County,Donald Trump,REP,7044,TRUE,Donald Trump
Oregon,Jefferson County,Joe Biden,DEM,4306,FALSE,Joe Biden
Oregon,Jefferson County,Jo Jorgensen,LIB,197,FALSE,Other
Oregon,Jefferson County,Howie Hawkins,GRN,56,FALSE,Other
Oregon,Jefferson County,Write-ins,WRI,40,FALSE,Other
Oregon,Jefferson County,Dario Hunter,PRG,23,FALSE,Other
Oregon,Josephine County,Donald Trump,REP,31732,TRUE,Donald Trump
Oregon,Josephine County,Joe Biden,DEM,18430,FALSE,Joe Biden
Oregon,Josephine County,Jo Jorgensen,LIB,792,FALSE,Other
Oregon,Josephine County,Write-ins,WRI,299,FALSE,Other
Oregon,Josephine County,Howie Hawkins,GRN,222,FALSE,Other
Oregon,Josephine County,Dario Hunter,PRG,117,FALSE,Other
Oregon,Klamath County,Donald Trump,REP,25048,TRUE,Donald Trump
Oregon,Klamath County,Joe Biden,DEM,10260,FALSE,Joe Biden
Oregon,Klamath County,Jo Jorgensen,LIB,631,FALSE,Other
Oregon,Klamath County,Write-ins,WRI,171,FALSE,Other
Oregon,Klamath County,Howie Hawkins,GRN,144,FALSE,Other
Oregon,Klamath County,Dario Hunter,PRG,77,FALSE,Other
Oregon,Lake County,Donald Trump,REP,3449,TRUE,Donald Trump
Oregon,Lake County,Joe Biden,DEM,788,FALSE,Joe Biden
Oregon,Lake County,Jo Jorgensen,LIB,62,FALSE,Other
Oregon,Lake County,Write-ins,WRI,20,FALSE,Other
Oregon,Lake County,Howie Hawkins,GRN,10,FALSE,Other
Oregon,Lake County,Dario Hunter,PRG,7,FALSE,Other
Oregon,Lane County,Joe Biden,DEM,133924,TRUE,Joe Biden
Oregon,Lane County,Donald Trump,REP,80144,FALSE,Donald Trump
Oregon,Lane County,Jo Jorgensen,LIB,3888,FALSE,Other
Oregon,Lane County,Write-ins,WRI,1720,FALSE,Other
Oregon,Lane County,Howie Hawkins,GRN,1340,FALSE,Other
Oregon,Lane County,Dario Hunter,PRG,569,FALSE,Other
Oregon,Lincoln County,Joe Biden,DEM,17248,TRUE,Joe Biden
Oregon,Lincoln County,Donald Trump,REP,12336,FALSE,Donald Trump
Oregon,Lincoln County,Jo Jorgensen,LIB,450,FALSE,Other
Oregon,Lincoln County,Howie Hawkins,GRN,206,FALSE,Other
Oregon,Lincoln County,Write-ins,WRI,138,FALSE,Other
Oregon,Lincoln County,Dario Hunter,PRG,63,FALSE,Other
Oregon,Linn County,Donald Trump,REP,43422,TRUE,Donald Trump
Oregon,Linn County,Joe Biden,DEM,26448,FALSE,Joe Biden
Oregon,Linn County,Jo Jorgensen,LIB,1588,FALSE,Other
Oregon,Linn County,Write-ins,WRI,494,FALSE,Other
Oregon,Linn County,Howie Hawkins,GRN,401,FALSE,Other
Oregon,Linn County,Dario Hunter,PRG,149,FALSE,Other
Oregon,Malheur County,Donald Trump,REP,8101,TRUE,Donald Trump
Oregon,Malheur County,Joe Biden,DEM,3202,FALSE,Joe Biden
Oregon,Malheur County,Jo Jorgensen,LIB,215,FALSE,Other
Oregon,Malheur County,Howie Hawkins,GRN,56,FALSE,Other
Oregon,Malheur County,Write-ins,WRI,50,FALSE,Other
Oregon,Malheur County,Dario Hunter,PRG,29,FALSE,Other
Oregon,Marion County,Joe Biden,DEM,80138,TRUE,Joe Biden
Oregon,Marion County,Donald Trump,REP,78424,FALSE,Donald Trump
Oregon,Marion County,Jo Jorgensen,LIB,3228,FALSE,Other
Oregon,Marion County,Write-ins,WRI,1219,FALSE,Other
Oregon,Marion County,Howie Hawkins,GRN,832,FALSE,Other
Oregon,Marion County,Dario Hunter,PRG,315,FALSE,Other
Oregon,Morrow County,Donald Trump,REP,3557,TRUE,Donald Trump
Oregon,Morrow County,Joe Biden,DEM,1345,FALSE,Joe Biden
Oregon,Morrow County,Jo Jorgensen,LIB,123,FALSE,Other
Oregon,Morrow County,Write-ins,WRI,17,FALSE,Other
Oregon,Morrow County,Howie Hawkins,GRN,13,FALSE,Other
Oregon,Morrow County,Dario Hunter,PRG,5,FALSE,Other
Oregon,Multnomah County,Joe Biden,DEM,366129,TRUE,Joe Biden
Oregon,Multnomah County,Donald Trump,REP,82583,FALSE,Donald Trump
Oregon,Multnomah County,Jo Jorgensen,LIB,5687,FALSE,Other
Oregon,Multnomah County,Write-ins,WRI,3578,FALSE,Other
Oregon,Multnomah County,Howie Hawkins,GRN,2958,FALSE,Other
Oregon,Multnomah County,Dario Hunter,PRG,1133,FALSE,Other
Oregon,Polk County,Donald Trump,REP,23670,TRUE,Donald Trump
Oregon,Polk County,Joe Biden,DEM,22842,FALSE,Joe Biden
Oregon,Polk County,Jo Jorgensen,LIB,976,FALSE,Other
Oregon,Polk County,Write-ins,WRI,359,FALSE,Other
Oregon,Polk County,Howie Hawkins,GRN,211,FALSE,Other
Oregon,Polk County,Dario Hunter,PRG,90,FALSE,Other
Oregon,Sherman County,Donald Trump,REP,914,TRUE,Donald Trump
Oregon,Sherman County,Joe Biden,DEM,257,FALSE,Joe Biden
Oregon,Sherman County,Jo Jorgensen,LIB,24,FALSE,Other
Oregon,Sherman County,Dario Hunter,PRG,1,FALSE,Other
Oregon,Sherman County,Write-ins,WRI,1,FALSE,Other
Oregon,Sherman County,Howie Hawkins,GRN,0,FALSE,Other
Oregon,Tillamook County,Donald Trump,REP,8306,TRUE,Donald Trump
Oregon,Tillamook County,Joe Biden,DEM,7956,FALSE,Joe Biden
Oregon,Tillamook County,Jo Jorgensen,LIB,258,FALSE,Other
Oregon,Tillamook County,Howie Hawkins,GRN,88,FALSE,Other
Oregon,Tillamook County,Write-ins,WRI,85,FALSE,Other
Oregon,Tillamook County,Dario Hunter,PRG,32,FALSE,Other
Oregon,Umatilla County,Donald Trump,REP,21002,TRUE,Donald Trump
Oregon,Umatilla County,Joe Biden,DEM,10499,FALSE,Joe Biden
Oregon,Umatilla County,Jo Jorgensen,LIB,723,FALSE,Other
Oregon,Umatilla County,Write-ins,WRI,172,FALSE,Other
Oregon,Umatilla County,Howie Hawkins,GRN,89,FALSE,Other
Oregon,Umatilla County,Dario Hunter,PRG,54,FALSE,Other
Oregon,Union County,Donald Trump,REP,10247,TRUE,Donald Trump
Oregon,Union County,Joe Biden,DEM,4227,FALSE,Joe Biden
Oregon,Union County,Jo Jorgensen,LIB,239,FALSE,Other
Oregon,Union County,Write-ins,WRI,72,FALSE,Other
Oregon,Union County,Howie Hawkins,GRN,46,FALSE,Other
Oregon,Union County,Dario Hunter,PRG,31,FALSE,Other
Oregon,Wallowa County,Donald Trump,REP,3390,TRUE,Donald Trump
Oregon,Wallowa County,Joe Biden,DEM,1619,FALSE,Joe Biden
Oregon,Wallowa County,Jo Jorgensen,LIB,75,FALSE,Other
Oregon,Wallowa County,Write-ins,WRI,18,FALSE,Other
Oregon,Wallowa County,Dario Hunter,PRG,16,FALSE,Other
Oregon,Wallowa County,Howie Hawkins,GRN,10,FALSE,Other
Oregon,Wasco County,Donald Trump,REP,6965,TRUE,Donald Trump
